Gene,median,biorep,counts,condition,time,treatment
Y2,17484.2712802265,Bio2,6677.58250965049,24h_xd,24h,xd
Y2,17484.2712802265,Bio2,48392.8712637509,24h_Dd,24h,Dd
Y2,17484.2712802265,Bio3,12234.1393696161,12h_xx,12h,xx
Y2,17484.2712802265,Bio3,58573.2629287884,12h_Dx,12h,Dx
Y2,17484.2712802265,Bio3,7626.25360326366,12h_xd,12h,xd
Y2,17484.2712802265,Bio3,32624.1480897477,12h_Dd,12h,Dd
Y2,17484.2712802265,Bio3,11181.5903170427,24h_xx,24h,xx
Y2,17484.2712802265,Bio3,81534.1057996546,24h_Dx,24h,Dx
Y2,17484.2712802265,Bio3,6327.69675657121,24h_xd,24h,xd
Y2,17484.2712802265,Bio3,42906.3611481474,24h_Dd,24h,Dd
